ivzxrdcnwhmsqfpakyulgobtje	5.2
idaxcheowpsrnqlgkzuvbjytfm	4.3
icgxpeljwmdhonsbkauryfztqv	4
iebxlmvfwshpjorykguczqatnd	3.7
i--x----w-------k-u----t--	3.6
insoembgwzvradqulpxhcjktyf	2.9
insmlvhuwqogbzkrcpeafjdtyx	2.9
insmlvhuwqogbzkrcpeafjdtyx	2.9
insgcuohwdrbvkzafplmxjqtye	2.9
insbfhrowqavuzkmxpcgejdtyl	2.9
inshxagmwkborqdvepfuljztyc	2.8
ins-----w--------p---j-ty-	2.6
invrhqxfwkglubeampsdyjctzo	2.3
invrhqxfwkglubeampsdyjctzo	2.3
inhakxeywovqfugdrplczjmtbs	2.3
inocsgvbwlkezyhmdpxrujatfq	2.2
inxdeoszwgqkyflcaphmbjrtuv	2
inxdeoszwgqkyflcaphmbjrtuv	2
in------w--------p---j-t--	1.7
in------w--------p---j-t--	1.7
