insxcthjvyrlkgefmpuzabowqd	8.5
inxfcvkrjbglwyeaspzhdqutmo	7.2
inszcmxyeuglvkdofpwabhrtqj	7.2
insvcemyokgrwlufhpbtxjzaqd	7
instcxmdvughqyofzprelbwjka	6.9
ivxscoytrmfldahknpwzejgqub	6.7
iohmcfguwkyltnvxbpdzeqrsaj	6.7
inyxczrbaeglfuoqkpsmjvdtwh	6.7
iyoxcgwnthrlajfvqpuzemdkbs	5.9
insoctmluqgbzxkfrpjveahdwy	5.8
inkscwyuodglzrjhxpfqembtva	5.8
inszcadxgeqlhjofyputkmrbvw	5.7
insucvmxkwgjheqfbpaotdryzl	5.7
insgcxavrbeltqmfwpujzdyhok	5.7
ifvkcyradxglubohjptzeswmnq	5.5
insjczkgqmolavyfbpuxtwedrh	5.1
ins-c-m---g----f-p--------	3.9
in--c-----gl-----p-----t--	3.8
i---c------l-----p-ze-----	3.5
ins-c------l---f-pu-------	3.3
