insxckebmaglqtrfjpuzwyovhd	10.6
inskcomewhgqrtafzpyuvjlbxd	10.2
insecymqhrgluwvbjpdzxfktoa	8.3
insxcetwymqlrhkfapuzjvobgd	8.2
insxcyvhkrjlabmfqpuzgeotwd	7.9
insxcvbgekalmwyfrpuzqtohjd	7.9
insoctmluwgbaxkfrpzvejqhyd	7.9
injkcforubglmwhyqpvaxeztds	7.6
inaxcdjrybglqsfozpmkhvwteu	7.6
inswcumtargybvhfqplkojxzed	7.5
insqcdwvojglfzhrxpeykbatum	7.5
insdczaevbglomqfrpywjuxthk	7.5
inkhcearobglzudjwpqxfmstvy	7.5
insucvmxkagzhewfbpqotjyrld	7.2
inoachyrsbglvzxumpejkdqtfw	6.9
insycwkdqfglhaeubpzmrojtvx	6.6
insxc------l---f-puz--o--d	6.5
ins-c-m---g----f-p---j---d	5.3
in--c--r-bgl-----p-----t--	5.2
ins-c-----gl-----p-----t--	4.8
