ilyxsvrqwdemfjhzkbupangtoc	3.9
insmlvhuwqogbzkrcpeafjdtyx	2.9
inhakxeywovqfugdrplczjmtbs	2.3
inecgslbwvxozyqmdpkrujatfh	2.3
inlrqhkfwxsvuboampgdyjctze	2
vpjxtbgdwsqacenhkyuzflmiro	1.8
in------w--------p---j-t--	1.7
tnbxdioewqjgayzpkvulmhrscf	1.6
lnvyzxgfikrchqawtpbdejousm	1.4
bzexiymswtdfoqlnkjuhcpavgr	1.3
---x----w-------k-u-------	1.1
unrxatskbeglmywhcpoivjzqdf	1.1
tnwklyrzuicsfvaehpqmbjdxog	1
ynqfxhdulzmgibavkpeswjctro	0.8
znihbuqekmvoxwctfpgysjadlr	0.7
xnbhutoizfdmkeaqypwcvjrlgs	0.7
tnfmzhvbakodeiyxwplrgjusqc	0.6
hnceuxgazblqkrimypdfojtvsw	0.5
-n------------a--p---j----	0.2
-n---------------p---j----	0.1
