insxcvtrbeglqmafypuzhjokwd	19.3
insxcrmtwbglqvafjpuzkhoyed	17.5
insxchmewrgkbvafoputyjlzqd	16
insxcayrwkglqvjfmpuztboehd	14.5
instcymzwugvbxafkprhejoqld	13.9
insechmywqgxlvafzpubrjktod	13.9
insxcbrhwyglqvkftpuzemoajd	13.7
insucqmkwrgxohaflpvbejztyd	12.7
insychmrwogekvaftpulqjxbzd	12.6
insxcbvyhaglqwkftpuzejomrd	12.5
insxcybmwaglqvefhpuzjroktd	12.4
insrchmqwzgyxvafbpukojeltd	12.3
insqclmowtgrhvafzpuxejbykd	12.1
insxcyrmtbglqahfwpuzvjoekd	11.5
insxctywvhglqkefrpuzbjoamd	11.5
insrctmlwvghzbafypxoejkuqd	11.2
ins-chm-w-g--vaf-pu--j---d	11.2
insxc---w-glqv-f-puz--o--d	10.8
insxc-----glq--f-puz-jo--d	10.4
ins-c-m-w-g---af-p--ej---d	9.9
